experiment_id,pair_id,history_member,state_generation_experiment_id,target_id,actual_delay_steps,actual_slew_scale,horizon_steps,environment_success,failure_reason,fresh_controller,fresh_tsc_process,initial_restart_visible_exact,initial_restart_wire_exact,initial_restart_exact,controller_trace_causal,controller_trace_row_count,forbidden_future_paths,future_action_replay_used,future_measurement_used,hidden_wire_available_to_controller,online_action_computation,formal_contract_pass,formal_minimum_signed_margin,formal_best_arrival_ms,failure_class,passed,reference_phase_start,phase_trace_valid,task_clock_starts_at_zero,reference_phase_monotonic,reference_phase_exact,model_phase_exact,phase_hidden_wire_trace_count,phase_source_action_trace_count,phase_source_coil_current_trace_count,phase_source_wire_current_trace_count,phase_current_run_future_trace_count,visible_reference_manifold_exact,formal_clock_shifted,development_set_only,phase_selection_or_transition_design_failure
s42r3c1_4b8dc85c34b4b10adc6c,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,2,0.9,37,False,ValueError('terminal feedback requires at least two trajectory states'),False,False,,,False,False,,,,,,,False,,,runtime_or_environment_error,False,,False,False,False,False,False,0,0,0,0,0,False,True,True,True
s42r3c1_569f4a7cd7a12eab8815,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.005323333333331903,250,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_6ec081eb0f5408a0e934,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,2,0.9,37,False,ValueError('terminal feedback requires at least two trajectory states'),False,False,,,False,False,,,,,,,False,,,runtime_or_environment_error,False,,False,False,False,False,False,0,0,0,0,0,False,True,True,True
s42r3c1_7d1c48c5be7daeb169d0,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004227900000000617,250,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_7f47bd92b5458cdb0d40,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.36178536666666794,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_7f61fe5202ae33ac2ed0,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.24772913333333446,190,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_80468ba2375ca639ef00,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.08019193333333363,250,real_closed_loop_formal_control_failure,False,13,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_804b35d2b2e62a957702,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.03386863666666673,200,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_93d020858e4b4355c19d,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.3605615999999987,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_965d1418e70a2444e627,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10544524405844569,130,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_9f56bf3403ed25612e1f,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,2,0.9,37,False,ValueError('terminal feedback requires at least two trajectory states'),False,False,,,False,False,,,,,,,False,,,runtime_or_environment_error,False,,False,False,False,False,False,0,0,0,0,0,False,True,True,True
s42r3c1_a735458eb7e7667a6a81,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.06721223333333315,180,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_a7cf656de03a975cccc8,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.3596055000000016,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_ae25f291dce78230df3f,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004718200000000672,250,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_c4313cb511404d0937ed,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.014148986053374446,180,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_c77a5f6732c899e454fd,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.08241823333333409,240,real_closed_loop_formal_control_failure,False,13,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_de27cb9c9cb3bf4e2653,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.032832263333333334,200,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_e71fcb89e14e9fe8fe2b,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.24851633333333467,190,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_ee404a8e3301e9caacb0,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.09697009954940039,120,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_f226e01852c4d3c0ebd4,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.23653407413660976,200,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_f7ac14b67b3eddb3659d,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10378758104765473,140,,True,13,True,True,True,True,True,0,0,0,0,0,True,False,True,False
s42r3c1_fd657a535f208c20c6fa,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004738299999998419,250,,True,12,True,True,True,True,True,0,0,0,0,0,True,False,True,False
