experiment_id,pair_id,history_member,state_generation_experiment_id,target_id,actual_delay_steps,actual_slew_scale,horizon_steps,environment_success,failure_reason,fresh_controller,fresh_tsc_process,initial_restart_visible_exact,initial_restart_wire_exact,initial_restart_exact,controller_trace_causal,controller_trace_row_count,forbidden_future_paths,future_action_replay_used,future_measurement_used,hidden_wire_available_to_controller,online_action_computation,formal_contract_pass,formal_minimum_signed_margin,formal_best_arrival_ms,failure_class,passed,reference_phase_start,phase_trace_valid,task_clock_starts_at_zero,reference_phase_monotonic,reference_phase_exact,model_phase_exact,phase_hidden_wire_trace_count,formal_clock_shifted,development_set_only,phase_selection_or_transition_design_failure
s42r3c_702ac7ee8a733c8e6080,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.24772913333333446,190,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_7a541607082629370f04,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.051955166666664554,240,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_80f47c113c503d4f1ea2,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004738299999998419,250,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_82b6bb87b9e088463ddd,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.005323333333331903,250,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_88b5f0500c67f86482ba,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10378758104765473,140,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_8e95711d572e92bae08f,p9_q2_a0p750_gap2_settle4,minus_first,s42r3b_619f6b416158dade3311,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.047929133333334484,240,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_9db028a7244d67dc7e49,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.21507070000000206,260,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_9ee9535a5854790831fd,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.012413308956406133,180,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_bf1120114a8fba3d2818,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.21656503333333532,260,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_bf40977225cea0121895,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.10281705403080599,140,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_c036b667a4005f14bb17,p9_q1_a0p750_gap2_settle4,plus_first,s42r3b_03abcc6378f04ba5be30,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.03386863666666673,200,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_d00055c3a125f5c9518e,p5_q1_a0p900_gap2_settle4,plus_first,s42r3b_46ca1104e9f7129c703b,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.21478243333333547,260,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_da6ede9bdaa2c134c30c,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004227900000000617,250,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_e100d91e985d38070f16,p9_q2_a0p750_gap2_settle4,plus_first,s42r3b_aadc869b24c2e3d79a3f,RZ_p10_m10,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,True,0.051122666666665095,240,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_efeecc078061c7b9af04,p9_q1_a0p750_gap2_settle4,minus_first,s42r3b_4b608db7a281e5e3ca9a,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.09792281411783677,140,,True,13,True,True,True,True,True,0,False,True,False
s42r3c_f1e42f613f68f6c4b908,p5_q2_a0p900_gap2_settle4,minus_first,s42r3b_602862b213b27d9ab02f,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.23653407413660976,200,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_f666cb24477f6d33967a,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,RZ_p10_m10,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,False,-0.24851633333333467,190,real_closed_loop_formal_control_failure,False,11,True,True,True,True,True,0,False,True,False
s42r3c_f70356c63e9255ba7a31,p5_q1_a0p900_gap2_settle4,minus_first,s42r3b_58701a99165df704aa4d,nominal,0,1.0,35,True,,True,True,True,True,True,True,35,[],False,False,False,True,True,0.004718200000000672,250,,True,12,True,True,True,True,True,0,False,True,False
s42r3c_fbb09831b585c6e38ddc,p5_q2_a0p900_gap2_settle4,plus_first,s42r3b_91d4477b58f016a062bf,nominal,2,0.9,37,True,,True,True,True,True,True,True,37,[],False,False,False,True,False,-0.07035040000000126,270,real_closed_loop_formal_control_failure,False,12,True,True,True,True,True,0,False,True,False
